  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   3.220000e+00,   1.439676e-04,   7.180370e-02,   3.162652e-04,   0.000000e+00,   5.852418e+00
  2.982966e+02,   3.225000e+00,   1.720842e-01,   7.184517e-02,   3.162646e-04,   9.098733e-03,   5.868683e+00
  2.985934e+02,   3.230000e+00,   3.446466e-01,   7.196946e-02,   3.162656e-04,   1.819982e-02,   5.878542e+00
  2.988904e+02,   3.235000e+00,   5.173868e-01,   7.217632e-02,   3.162684e-04,   2.729152e-02,   5.885872e+00
  2.991823e+02,   3.240000e+00,   6.903099e-01,   7.246551e-02,   3.162634e-04,   3.637402e-02,   5.892591e+00
  2.994733e+02,   3.245000e+00,   8.634209e-01,   7.283678e-02,   3.162587e-04,   4.544748e-02,   5.899083e+00
  2.997653e+02,   3.250000e+00,   1.036725e+00,   7.328990e-02,   3.162576e-04,   5.451207e-02,   5.905474e+00
  3.000586e+02,   3.255000e+00,   1.210227e+00,   7.382463e-02,   3.162606e-04,   6.356796e-02,   5.911820e+00
  3.003533e+02,   3.260000e+00,   1.383933e+00,   7.444074e-02,   3.162684e-04,   7.261531e-02,   5.918148e+00
  3.006498e+02,   3.265000e+00,   1.557847e+00,   7.513803e-02,   3.162815e-04,   8.165429e-02,   5.924472e+00
  3.009483e+02,   3.270000e+00,   1.731974e+00,   7.591628e-02,   3.163005e-04,   9.068507e-02,   5.930803e+00
  3.012490e+02,   3.275000e+00,   1.906319e+00,   7.677528e-02,   3.163260e-04,   9.970780e-02,   5.937146e+00
  3.015523e+02,   3.280000e+00,   2.080887e+00,   7.771483e-02,   3.163587e-04,   1.087226e-01,   5.943505e+00
  3.018584e+02,   3.285000e+00,   2.255684e+00,   7.873474e-02,   3.163990e-04,   1.177298e-01,   5.949882e+00
  3.021675e+02,   3.290000e+00,   2.430714e+00,   7.983482e-02,   3.164477e-04,   1.267293e-01,   5.956279e+00
  3.024800e+02,   3.295000e+00,   2.605982e+00,   8.101488e-02,   3.165053e-04,   1.357215e-01,   5.962699e+00
  3.027961e+02,   3.300000e+00,   2.781493e+00,   8.227476e-02,   3.165725e-04,   1.447064e-01,   5.969140e+00
  3.031161e+02,   3.305000e+00,   2.957252e+00,   8.361428e-02,   3.166498e-04,   1.536843e-01,   5.975606e+00
  3.034402e+02,   3.310000e+00,   3.133264e+00,   8.503327e-02,   3.167379e-04,   1.626552e-01,   5.982095e+00
  3.037689e+02,   3.315000e+00,   3.309534e+00,   8.653157e-02,   3.168375e-04,   1.716193e-01,   5.988609e+00
  3.041023e+02,   3.320000e+00,   3.486066e+00,   8.810903e-02,   3.169491e-04,   1.805768e-01,   5.995148e+00
  3.044408e+02,   3.325000e+00,   3.662865e+00,   8.976550e-02,   3.170735e-04,   1.895278e-01,   6.001713e+00
  3.047847e+02,   3.330000e+00,   3.839937e+00,   9.150083e-02,   3.172111e-04,   1.984724e-01,   6.008302e+00
  3.051342e+02,   3.335000e+00,   4.017286e+00,   9.331489e-02,   3.173628e-04,   2.074109e-01,   6.014917e+00
  3.054897e+02,   3.340000e+00,   4.194917e+00,   9.520755e-02,   3.175292e-04,   2.163434e-01,   6.021559e+00
  3.058514e+02,   3.345000e+00,   4.372835e+00,   9.717866e-02,   3.177108e-04,   2.252700e-01,   6.028226e+00
  3.062198e+02,   3.350000e+00,   4.551044e+00,   9.922812e-02,   3.179084e-04,   2.341909e-01,   6.034919e+00
  3.065950e+02,   3.355000e+00,   4.729549e+00,   1.013558e-01,   3.181226e-04,   2.431061e-01,   6.041638e+00
  3.069774e+02,   3.360000e+00,   4.908355e+00,   1.035616e-01,   3.183541e-04,   2.520160e-01,   6.048383e+00
