  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   3.320000e+00,  -3.105992e-03,   3.668131e-01,   6.432334e-04,   0.000000e+00,   6.599410e+00
  2.983673e+02,   3.325000e+00,   2.171198e-01,   3.668616e-01,   6.432327e-04,   9.987441e-03,   6.641649e+00
  2.987349e+02,   3.330000e+00,   4.423404e-01,   3.670117e-01,   6.432381e-04,   2.007274e-02,   6.684221e+00
  2.991042e+02,   3.335000e+00,   6.726550e-01,   3.672666e-01,   6.432431e-04,   3.025696e-02,   6.727130e+00
  2.994762e+02,   3.340000e+00,   9.081647e-01,   3.676293e-01,   6.432473e-04,   4.054118e-02,   6.770378e+00
  2.998512e+02,   3.345000e+00,   1.147907e+00,   3.681017e-01,   6.432676e-04,   5.090295e-02,   6.810815e+00
  3.002262e+02,   3.350000e+00,   1.387764e+00,   3.686806e-01,   6.432924e-04,   6.125090e-02,   6.839684e+00
  3.006011e+02,   3.355000e+00,   1.627322e+00,   3.693649e-01,   6.433208e-04,   7.157634e-02,   6.861104e+00
  3.009757e+02,   3.360000e+00,   1.866586e+00,   3.701541e-01,   6.433531e-04,   8.187971e-02,   6.877896e+00
  3.013504e+02,   3.365000e+00,   2.105562e+00,   3.710474e-01,   6.433896e-04,   9.216134e-02,   6.891620e+00
  3.017251e+02,   3.370000e+00,   2.344257e+00,   3.720443e-01,   6.434306e-04,   1.024215e-01,   6.903209e+00
  3.020999e+02,   3.375000e+00,   2.582677e+00,   3.731440e-01,   6.434764e-04,   1.126604e-01,   6.913254e+00
  3.024750e+02,   3.380000e+00,   2.820828e+00,   3.743460e-01,   6.435274e-04,   1.228784e-01,   6.922149e+00
  3.028503e+02,   3.385000e+00,   3.058717e+00,   3.756497e-01,   6.435839e-04,   1.330756e-01,   6.930166e+00
  3.032261e+02,   3.390000e+00,   3.296349e+00,   3.770544e-01,   6.436462e-04,   1.432522e-01,   6.937498e+00
  3.036024e+02,   3.395000e+00,   3.533731e+00,   3.785595e-01,   6.437147e-04,   1.534084e-01,   6.944288e+00
  3.039793e+02,   3.400000e+00,   3.770869e+00,   3.801645e-01,   6.437898e-04,   1.635445e-01,   6.950642e+00
  3.056469e+02,   3.422000e+00,   4.811528e+00,   3.883982e-01,   6.442067e-04,   2.079087e-01,   6.975133e+00
  3.073362e+02,   3.444000e+00,   5.848093e+00,   3.985069e-01,   6.447882e-04,   2.519026e-01,   6.996392e+00
  3.090561e+02,   3.466000e+00,   6.881071e+00,   4.104462e-01,   6.455478e-04,   2.955419e-01,   7.016085e+00
  3.108176e+02,   3.488000e+00,   7.910962e+00,   4.241750e-01,   6.463374e-04,   3.388420e-01,   7.035005e+00
  3.126282e+02,   3.510000e+00,   8.938260e+00,   4.396549e-01,   6.473893e-04,   3.818178e-01,   7.053581e+00
  3.144978e+02,   3.532000e+00,   9.963452e+00,   4.568502e-01,   6.487403e-04,   4.244838e-01,   7.072061e+00
  3.164368e+02,   3.554000e+00,   1.098702e+01,   4.757280e-01,   6.504284e-04,   4.668544e-01,   7.090601e+00
  3.184558e+02,   3.576000e+00,   1.200943e+01,   4.962579e-01,   6.524935e-04,   5.089435e-01,   7.109304e+00
  3.205681e+02,   3.598000e+00,   1.303116e+01,   5.184117e-01,   6.547734e-04,   5.507646e-01,   7.128242e+00
  3.227834e+02,   3.620000e+00,   1.405266e+01,   5.421637e-01,   6.574552e-04,   5.923312e-01,   7.147463e+00
  3.251131e+02,   3.642000e+00,   1.507440e+01,   5.674904e-01,   6.606282e-04,   6.336561e-01,   7.167005e+00
  3.275692e+02,   3.664000e+00,   1.609681e+01,   5.943705e-01,   6.643360e-04,   6.747522e-01,   7.186895e+00
  3.301657e+02,   3.686000e+00,   1.712035e+01,   6.227846e-01,   6.684717e-04,   7.156317e-01,   7.207154e+00
  3.329155e+02,   3.708000e+00,   1.814545e+01,   6.527152e-01,   6.730805e-04,   7.563069e-01,   7.227798e+00
  3.358301e+02,   3.730000e+00,   1.917255e+01,   6.841470e-01,   6.783451e-04,   7.967895e-01,   7.248841e+00
  3.389229e+02,   3.752000e+00,   2.020207e+01,   7.170662e-01,   6.842939e-04,   8.370912e-01,   7.270292e+00
  3.422113e+02,   3.774000e+00,   2.123444e+01,   7.514608e-01,   6.906691e-04,   8.772232e-01,   7.292159e+00
  3.457055e+02,   3.796000e+00,   2.227007e+01,   7.873206e-01,   6.978237e-04,   9.171966e-01,   7.314450e+00
  3.494207e+02,   3.818000e+00,   2.330938e+01,   8.246367e-01,   7.057349e-04,   9.570221e-01,   7.337170e+00
  3.533743e+02,   3.840000e+00,   2.435278e+01,   8.634022e-01,   7.142067e-04,   9.967104e-01,   7.360323e+00
  3.575777e+02,   3.862000e+00,   2.540067e+01,   9.036111e-01,   7.235837e-04,   1.036272e+00,   7.383913e+00
  3.620497e+02,   3.884000e+00,   2.645344e+01,   9.452593e-01,   7.335987e-04,   1.075716e+00,   7.407943e+00
  3.668034e+02,   3.906000e+00,   2.751151e+01,   9.883438e-01,   7.444959e-04,   1.115053e+00,   7.432415e+00
  3.718568e+02,   3.928000e+00,   2.857525e+01,   1.032863e+00,   7.561369e-04,   1.154292e+00,   7.457332e+00
  3.772243e+02,   3.950000e+00,   2.964505e+01,   1.078817e+00,   7.686770e-04,   1.193443e+00,   7.482696e+00
  3.829251e+02,   3.972000e+00,   3.072131e+01,   1.126205e+00,   7.819581e-04,   1.232514e+00,   7.508507e+00
