  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   3.320000e+00,   1.803355e-04,   1.927091e-01,   1.122531e-03,   0.000000e+00,   6.596002e+00
  2.983565e+02,   3.325000e+00,   2.188323e-01,   1.927587e-01,   1.122530e-03,   9.951690e-03,   6.617874e+00
  2.987131e+02,   3.330000e+00,   4.397265e-01,   1.929081e-01,   1.122533e-03,   1.993936e-02,   6.639805e+00
  2.990697e+02,   3.335000e+00,   6.623004e-01,   1.931579e-01,   1.122533e-03,   2.995001e-02,   6.658887e+00
  2.994254e+02,   3.340000e+00,   8.848203e-01,   1.935072e-01,   1.122522e-03,   3.994441e-02,   6.670716e+00
  2.997810e+02,   3.345000e+00,   1.107174e+00,   1.939555e-01,   1.122513e-03,   4.992010e-02,   6.679310e+00
  3.001366e+02,   3.350000e+00,   1.329368e+00,   1.945022e-01,   1.122507e-03,   5.987731e-02,   6.686300e+00
  3.004923e+02,   3.355000e+00,   1.551407e+00,   1.951468e-01,   1.122505e-03,   6.981622e-02,   6.692383e+00
  3.008482e+02,   3.360000e+00,   1.773298e+00,   1.958888e-01,   1.122508e-03,   7.973703e-02,   6.697911e+00
  3.012045e+02,   3.365000e+00,   1.995046e+00,   1.967275e-01,   1.122514e-03,   8.963993e-02,   6.703075e+00
  3.015612e+02,   3.370000e+00,   2.216658e+00,   1.976625e-01,   1.122526e-03,   9.952511e-02,   6.707993e+00
  3.019185e+02,   3.375000e+00,   2.438139e+00,   1.986934e-01,   1.122543e-03,   1.093928e-01,   6.712738e+00
  3.022766e+02,   3.380000e+00,   2.659495e+00,   1.998195e-01,   1.122565e-03,   1.192431e-01,   6.717359e+00
  3.026354e+02,   3.385000e+00,   2.880732e+00,   2.010405e-01,   1.122594e-03,   1.290762e-01,   6.721891e+00
  3.029952e+02,   3.390000e+00,   3.101856e+00,   2.023558e-01,   1.122629e-03,   1.388923e-01,   6.726357e+00
  3.033561e+02,   3.395000e+00,   3.322872e+00,   2.037649e-01,   1.122671e-03,   1.486917e-01,   6.730777e+00
  3.037182e+02,   3.400000e+00,   3.543786e+00,   2.052675e-01,   1.122720e-03,   1.584744e-01,   6.735163e+00
  3.053292e+02,   3.422000e+00,   4.514743e+00,   2.129767e-01,   1.123034e-03,   2.013256e-01,   6.754275e+00
  3.069776e+02,   3.444000e+00,   5.484324e+00,   2.224482e-01,   1.123534e-03,   2.438735e-01,   6.773390e+00
  3.086754e+02,   3.466000e+00,   6.453005e+00,   2.336475e-01,   1.124260e-03,   2.861331e-01,   6.792721e+00
  3.104261e+02,   3.488000e+00,   7.421256e+00,   2.465426e-01,   1.125086e-03,   3.281186e-01,   6.812366e+00
  3.122495e+02,   3.510000e+00,   8.389541e+00,   2.611044e-01,   1.126186e-03,   3.698441e-01,   6.832382e+00
  3.141601e+02,   3.532000e+00,   9.358320e+00,   2.773058e-01,   1.127629e-03,   4.113233e-01,   6.852801e+00
  3.161716e+02,   3.554000e+00,   1.032804e+01,   2.951223e-01,   1.129456e-03,   4.525696e-01,   6.873643e+00
  3.182982e+02,   3.576000e+00,   1.129916e+01,   3.145316e-01,   1.131714e-03,   4.935962e-01,   6.894921e+00
  3.205453e+02,   3.598000e+00,   1.227210e+01,   3.355133e-01,   1.134275e-03,   5.344155e-01,   6.916644e+00
  3.229333e+02,   3.620000e+00,   1.324731e+01,   3.580492e-01,   1.137289e-03,   5.750402e-01,   6.938818e+00
