  Hugoniot 
  Temperature,    Density,        Pressure,       Int. Energy,    Sp. Entropy,    Part. Vel.,     Shock Vel. 
  K,              g/cm3,          GPa,            MJ/kg,          MJ/K/kg,        km/s,           km/s
  2.980000e+02,   3.227000e+00,   2.005251e-04,   1.276210e-01,   6.594255e-04,   0.000000e+00,   6.422709e+00
  2.983267e+02,   3.230000e+00,   1.242956e-01,   1.276389e-01,   6.594246e-04,   5.976365e-03,   6.434553e+00
  2.988716e+02,   3.235000e+00,   3.326436e-01,   1.277485e-01,   6.594266e-04,   1.596126e-02,   6.454332e+00
  2.994129e+02,   3.240000e+00,   5.428242e-01,   1.279586e-01,   6.594096e-04,   2.597461e-02,   6.473672e+00
  2.999538e+02,   3.245000e+00,   7.533153e-01,   1.282686e-01,   6.593930e-04,   3.597990e-02,   6.486377e+00
  3.004949e+02,   3.250000e+00,   9.635441e-01,   1.286777e-01,   6.593805e-04,   4.596353e-02,   6.494846e+00
  3.010364e+02,   3.255000e+00,   1.173517e+00,   1.291853e-01,   6.593724e-04,   5.592573e-02,   6.501366e+00
  3.015782e+02,   3.260000e+00,   1.383241e+00,   1.297908e-01,   6.593689e-04,   6.586673e-02,   6.506835e+00
  3.021206e+02,   3.265000e+00,   1.592722e+00,   1.304935e-01,   6.593704e-04,   7.578675e-02,   6.511678e+00
  3.026637e+02,   3.270000e+00,   1.801966e+00,   1.312928e-01,   6.593772e-04,   8.568602e-02,   6.516123e+00
  3.032075e+02,   3.275000e+00,   2.010980e+00,   1.321882e-01,   6.593896e-04,   9.556474e-02,   6.520302e+00
  3.037522e+02,   3.280000e+00,   2.219770e+00,   1.331790e-01,   6.594079e-04,   1.054231e-01,   6.524299e+00
  3.042979e+02,   3.285000e+00,   2.428343e+00,   1.342647e-01,   6.594325e-04,   1.152614e-01,   6.528167e+00
  3.048448e+02,   3.290000e+00,   2.636704e+00,   1.354446e-01,   6.594636e-04,   1.250798e-01,   6.531943e+00
  3.053929e+02,   3.295000e+00,   2.844861e+00,   1.367183e-01,   6.595017e-04,   1.348784e-01,   6.535653e+00
  3.059424e+02,   3.300000e+00,   3.052819e+00,   1.380852e-01,   6.595471e-04,   1.446576e-01,   6.539316e+00
  3.064935e+02,   3.305000e+00,   3.260584e+00,   1.395448e-01,   6.596000e-04,   1.544175e-01,   6.542946e+00
  3.070462e+02,   3.310000e+00,   3.468164e+00,   1.410965e-01,   6.596610e-04,   1.641583e-01,   6.546553e+00
  3.076008e+02,   3.315000e+00,   3.675564e+00,   1.427398e-01,   6.597303e-04,   1.738802e-01,   6.550147e+00
  3.081573e+02,   3.320000e+00,   3.882790e+00,   1.444742e-01,   6.598083e-04,   1.835835e-01,   6.553734e+00
  3.087159e+02,   3.325000e+00,   4.089848e+00,   1.462991e-01,   6.598954e-04,   1.932683e-01,   6.557318e+00
  3.092703e+02,   3.330000e+00,   4.296745e+00,   1.482142e-01,   6.599569e-04,   2.029349e-01,   6.560904e+00
  3.098238e+02,   3.335000e+00,   4.503487e+00,   1.502188e-01,   6.600110e-04,   2.125834e-01,   6.564495e+00
  3.103798e+02,   3.340000e+00,   4.710079e+00,   1.523126e-01,   6.600751e-04,   2.222140e-01,   6.568095e+00
  3.109383e+02,   3.345000e+00,   4.916529e+00,   1.544950e-01,   6.601498e-04,   2.318269e-01,   6.571704e+00
  3.114996e+02,   3.350000e+00,   5.122842e+00,   1.567656e-01,   6.602353e-04,   2.414224e-01,   6.575327e+00
  3.120637e+02,   3.355000e+00,   5.329024e+00,   1.591240e-01,   6.603322e-04,   2.510007e-01,   6.578963e+00
  3.126310e+02,   3.360000e+00,   5.535082e+00,   1.615697e-01,   6.604407e-04,   2.605619e-01,   6.582615e+00
