P (Pa), T (K), S (J/K/kg), rho (kg/m^3), Pe, Te, Se, rho_e  
200466464356.0,5034.62982322,3690.35653049,5590.13152818,1998204114.13,412.045222674,611.431846595,42.9320850735,
201305805081.0,5061.57279746,3698.9150902,5594.30866657,1997802605.95,410.421828497,611.241066576,42.8560795218,
202146936481.0,5088.58137392,3707.14068751,5598.49142564,1997555964.02,408.817730576,611.053152719,42.7833161442,
202988157003.0,5116.4637621,3715.82937686,5602.68447295,1997463394.03,407.23313221,610.867971062,42.7137617025,
203825976280.0,5144.8005413,3724.41691844,5606.93708382,1997524051.0,405.668235208,610.685479343,42.647382264,
204670539459.0,5171.98896243,3732.74123487,5611.16720339,1997737040.2,404.123239779,610.505642969,42.5841432264,
205521576733.0,5199.609712,3741.24963796,5615.25249283,1998101418.24,402.598344421,610.328390528,42.5240093445,
206374262255.0,5226.99855467,3749.72486361,5619.30697436,1998616194.15,401.093745809,610.153687184,42.4669447559,
207225869354.0,5254.92254454,3758.11388118,5623.39276848,1999280330.51,399.609638677,609.981423817,42.4129130088,
208080171664.0,5282.63555364,3766.59201453,5627.63919393,2000092744.62,398.146215702,609.811587093,42.3618770889,
208934787563.0,5310.1174217,3775.14714378,5631.71305573,2001052309.76,396.703667383,609.644127479,42.3137994475,
209791192286.0,5337.681949,3783.38846454,5635.78273898,2002157856.43,395.282181922,609.478959647,42.2686420294,
210646205361.0,5365.151081,3791.60909326,5639.88566233,2003408173.68,393.881945102,609.316067816,42.2263663016,
211504021588.0,5393.57082411,3799.85783434,5644.11189018,2004802010.41,392.503140157,609.155390238,42.1869332815,
212362220426.0,5421.71578175,3808.17200249,5648.22482555,2006338076.74,391.145947653,608.996890732,42.150303566,
213220967868.0,5450.43190384,3816.39907141,5652.2832226,2008015045.45,389.810545359,608.840497439,42.1164373604,
214084975893.0,5479.16608449,3824.1671714,5656.35598019,2009831553.35,388.497108117,608.686171068,42.0852945068,
214947054268.0,5507.91767865,3832.46536725,5660.45753479,2011786202.74,387.205807719,608.533869801,42.0568345137,
215811875755.0,5536.2032801,3840.55771621,5664.46710491,2013877562.85,385.936812771,608.383545329,42.0310165843,
216676938110.0,5564.3375757,3848.6750013,5668.54646538,2016104171.35,384.690288567,608.235165637,42.0077996458,
217548320199.0,5592.57227345,3856.77387099,5672.66045982,2018464535.79,383.46639696,608.088729471,41.9871423774,
218415698365.0,5621.49689867,3864.90283844,5676.71615561,2020957135.12,382.265296228,607.94418232,41.9690032393,
219284236145.0,5651.08651919,3873.23456579,5680.7367798,2023580421.18,381.087140948,607.801465356,41.9533405006,
220158062299.0,5680.12555809,3881.4904033,5684.7784971,2026332820.22,379.932081864,607.660564601,41.9401122672,
221034091120.0,5709.82596541,3889.8883523,5688.80541986,2029212734.38,378.80026576,607.521460904,41.9292765095,
221908014683.0,5738.97430939,3897.49946241,5692.87541736,2032218543.18,377.691835328,607.384126056,41.9207910896,
222780500758.0,5767.57207587,3905.5744277,5696.86931482,2035348605.07,376.606929044,607.248477929,41.9146137882,
223656787306.0,5796.61691693,3913.42065035,5700.85493489,2038601258.84,375.545681042,607.11453829,41.9107023308,
