T_solid (K), S_solid (J/K/kg), T_melt (K), S_melt (J/K/kg) 
298.15,668.902739367,2174.0,3476.33471547
307.57638191,695.387223132,2178.15075377,3480.00880756
317.002763819,721.570164727,2182.30150754,3483.67590484
326.429145729,747.448872407,2186.45226131,3487.33603389
335.855527638,773.020315941,2190.60301508,3490.98922115
345.281909548,798.281681057,2194.75376884,3494.6354929
354.708291457,823.230694673,2198.90452261,3498.27487528
364.134673367,847.86579786,2203.05527638,3501.90739426
373.561055276,872.18621897,2207.20603015,3505.53307569
382.987437186,896.191982638,2211.35678392,3509.15194525
392.413819095,919.883878902,2215.50753769,3512.76402851
401.840201005,943.263408854,2219.65829146,3516.36935085
411.266582915,966.33271777,2223.80904523,3519.96793754
420.692964824,989.094523022,2227.95979899,3523.55981371
430.119346734,1011.55204145,2232.11055276,3527.14500434
439.545728643,1033.70891918,2236.26130653,3530.72353426
448.972110553,1055.56916559,2240.4120603,3534.29542817
458.398492462,1077.13709247,2244.56281407,3537.86071066
467.824874372,1098.41725868,2248.71356784,3541.41940613
477.251256281,1119.41442052,2252.86432161,3544.9715389
486.677638191,1140.13348744,2257.01507538,3548.51713312
496.104020101,1160.57948307,2261.16582915,3552.05621281
505.53040201,1180.75751089,2265.31658291,3555.58880187
514.95678392,1200.67272443,2269.46733668,3559.11492407
524.383165829,1220.33030139,2273.61809045,3562.63460304
533.809547739,1239.73542138,2277.76884422,3566.14786229
543.235929648,1258.89324678,2281.91959799,3569.65472518
552.662311558,1277.80890655,2286.07035176,3573.15521497
562.088693467,1296.48748251,2290.22110553,3576.64935479
571.515075377,1314.93399778,2294.3718593,3580.13716762
580.941457286,1333.15340723,2298.52261307,3583.61867633
590.367839196,1351.15058963,2302.67336683,3587.09390369
599.794221106,1368.93034125,2306.8241206,3590.5628723
609.220603015,1386.49737075,2310.97487437,3594.02560468
618.646984925,1403.85629525,2315.12562814,3597.4821232
628.073366834,1421.01163726,2319.27638191,3600.93245013
637.499748744,1437.96782258,2323.42713568,3604.37660761
646.926130653,1454.72917881,2327.57788945,3607.81461767
656.352512563,1471.29993454,2331.72864322,3611.2465022
665.778894472,1487.68421902,2335.87939698,3614.672283
675.205276382,1503.88606235,2340.03015075,3618.09198174
684.631658291,1519.90939596,2344.18090452,3621.50561998
694.058040201,1535.7580535,2348.33165829,3624.91321916
703.484422111,1551.4357719,2352.48241206,3628.31480061
712.91080402,1566.94619275,2356.63316583,3631.71038555
722.33718593,1582.29286379,2360.7839196,3635.09999508
731.763567839,1597.47924059,2364.93467337,3638.48365019
741.189949749,1612.50868832,2369.08542714,3641.86137178
750.616331658,1627.38448364,2373.2361809,3645.23318061
760.042713568,1642.10981662,2377.38693467,3648.59909735
769.469095477,1656.68779277,2381.53768844,3651.95914255
778.895477387,1671.12143504,2385.68844221,3655.31333666
788.321859296,1685.4136859,2389.83919598,3658.66170003
797.748241206,1699.56740938,2393.98994975,3662.0042529
807.174623116,1713.58539313,2398.14070352,3665.34101538
816.601005025,1727.4703505,2402.29145729,3668.67200752
826.027386935,1741.22492252,2406.44221106,3671.99724923
835.453768844,1754.85167997,2410.59296482,3675.31676033
844.880150754,1768.35312529,2414.74371859,3678.63056054
854.306532663,1781.73169461,2418.89447236,3681.93866948
863.732914573,1794.98975959,2423.04522613,3685.24110667
873.159296482,1808.12962932,2427.1959799,3688.53789151
882.585678392,1821.15355218,2431.34673367,3691.82904333
892.012060302,1834.06371758,2435.49748744,3695.11458133
901.438442211,1846.86225774,2439.64824121,3698.39452465
910.864824121,1859.55124939,2443.79899497,3701.6688923
920.29120603,1872.13271541,2447.94974874,3704.9377032
929.71758794,1884.60862647,2452.10050251,3708.20097619
939.143969849,1896.98090258,2456.25125628,3711.45872999
948.570351759,1909.2514146,2460.40201005,3714.71098324
957.996733668,1921.42198576,2464.55276382,3717.9577545
967.423115578,1933.49439304,2468.70351759,3721.19906219
976.849497487,1945.47036863,2472.85427136,3724.4349247
986.275879397,1957.35160119,2477.00502513,3727.66536027
995.702261307,1969.13973726,2481.15577889,3730.89038708
1005.12864322,1980.83638245,2485.30653266,3734.11002321
1014.55502513,1992.44310268,2489.45728643,3737.32428666
1023.98140704,2003.96142542,2493.6080402,3740.53319532
1033.40778894,2015.39284075,2497.75879397,3743.73676701
1042.83417085,2026.73880257,2501.90954774,3746.93501944
1052.26055276,2038.00072962,2506.06030151,3750.12797027
1061.68693467,2049.18000651,2510.21105528,3753.31563702
1071.11331658,2060.27798478,2514.36180905,3756.49803717
1080.53969849,2071.29598384,2518.51256281,3759.67518808
1089.9660804,2082.23529192,2522.66331658,3762.84710705
1099.39246231,2093.09716701,2526.81407035,3766.01381128
1108.81884422,2103.88283768,2530.96482412,3769.17531789
1118.24522613,2114.59350401,2535.11557789,3772.3316439
1127.67160804,2125.23033837,2539.26633166,3775.48280628
1137.09798995,2135.79448622,2543.41708543,3778.62882188
1146.52437186,2146.2870669,2547.5678392,3781.7697075
1155.95075377,2156.70917439,2551.71859296,3784.90547983
1165.37713568,2167.06187798,2555.86934673,3788.03615551
1174.80351759,2177.34622304,2560.0201005,3791.16175106
1184.2298995,2187.56323164,2564.17085427,3794.28228295
1193.65628141,2197.71390324,2568.32160804,3797.39776756
1203.08266332,2207.7992153,2572.47236181,3800.50822119
1212.50904523,2217.82012391,2576.62311558,3803.61366006
1221.93542714,2227.77756438,2580.77386935,3806.71410032
1231.36180905,2237.67245181,2584.92462312,3809.80955803
1240.78819095,2247.50568165,2589.07537688,3812.90004918
1250.21457286,2257.27813022,2593.22613065,3815.98558969
1259.64095477,2266.99065527,2597.37688442,3819.06619538
1269.06733668,2276.64409646,2601.52763819,3822.14188202
1278.49371859,2286.23927581,2605.67839196,3825.21266529
1287.9201005,2295.77699827,2609.82914573,3828.27856081
1297.34648241,2305.25805207,2613.9798995,3831.3395841
1306.77286432,2314.68320924,2618.13065327,3834.39575063
1316.19924623,2324.05322599,2622.28140704,3837.44707578
1325.62562814,2333.36884318,2626.4321608,3840.49357487
1335.05201005,2342.63078665,2630.58291457,3843.53526315
1344.47839196,2351.83976767,2634.73366834,3846.57215577
1353.90477387,2360.99648331,2638.88442211,3849.60426785
1363.33115578,2370.10161678,2643.03517588,3852.6316144
1372.75753769,2379.15583781,2647.18592965,3855.65421038
1382.1839196,2388.15980297,2651.33668342,3858.67207069
1391.61030151,2397.11415604,2655.48743719,3861.68521012
1401.03668342,2406.0195283,2659.63819095,3864.69364344
1410.46306533,2414.87653887,2663.78894472,3867.69738532
1419.88944724,2423.68579499,2667.93969849,3870.69645037
1429.31582915,2432.44789233,2672.09045226,3873.69085313
1438.74221106,2441.16341528,2676.24120603,3876.68060807
1448.16859296,2449.83293723,2680.3919598,3879.6657296
1457.59497487,2458.4570208,2684.54271357,3882.64623206
1467.02135678,2467.03621818,2688.69346734,3885.62212972
1476.44773869,2475.57107131,2692.84422111,3888.59343678
1485.8741206,2484.06211217,2696.99497487,3891.5601674
1495.30050251,2492.50986298,2701.14572864,3894.52233564
1504.72688442,2500.91483649,2705.29648241,3897.47995551
1514.15326633,2509.27753617,2709.44723618,3900.43304096
1523.57964824,2517.59845641,2713.59798995,3903.38160588
1533.00603015,2525.87808279,2717.74874372,3906.32566409
1542.43241206,2534.11689223,2721.89949749,3909.26522933
1551.85879397,2542.31535322,2726.05025126,3912.2003153
1561.28517588,2550.47392603,2730.20100503,3915.13093563
1570.71155779,2558.59306285,2734.35175879,3918.05710389
1580.1379397,2566.67320803,2738.50251256,3920.97883359
1589.56432161,2574.71479824,2742.65326633,3923.89613817
1598.99070352,2582.71826262,2746.8040201,3926.80903101
1608.41708543,2590.68402298,2750.95477387,3929.71752544
1617.84346734,2598.61249397,2755.10552764,3932.62163472
1627.26984925,2606.50408321,2759.25628141,3935.52137206
1636.69623116,2614.35919145,2763.40703518,3938.41675059
1646.12261307,2622.17821278,2767.55778894,3941.3077834
1655.54899497,2629.96153469,2771.70854271,3944.19448352
1664.97537688,2637.70953827,2775.85929648,3947.07686391
1674.40175879,2645.42259834,2780.01005025,3949.95493749
1683.8281407,2653.10108358,2784.16080402,3952.8287171
1693.25452261,2660.74535668,2788.31155779,3955.69821554
1702.68090452,2668.35577443,2792.46231156,3958.56344554
1712.10728643,2675.9326879,2796.61306533,3961.42441979
1721.53366834,2683.4764425,2800.7638191,3964.28115091
1730.96005025,2690.98737816,2804.91457286,3967.13365146
1740.38643216,2698.46582942,2809.06532663,3969.98193396
1749.81281407,2705.91212552,2813.2160804,3972.82601087
1759.23919598,2713.32659055,2817.36683417,3975.66589457
1768.66557789,2720.70954355,2821.51758794,3978.50159743
1778.0919598,2728.06129857,2825.66834171,3981.33313173
1787.51834171,2735.38216486,2829.81909548,3984.16050972
1796.94472362,2742.67244686,2833.96984925,3986.98374356
1806.37110553,2749.93244439,2838.12060302,3989.80284541
1815.79748744,2757.16245271,2842.27135678,3992.61782732
1825.22386935,2764.36276259,2846.42211055,3995.42870133
1834.65025126,2771.53366044,2850.57286432,3998.23547941
1844.07663317,2778.67542836,2854.72361809,4001.03817348
1853.50301508,2785.78834426,2858.87437186,4003.83679541
1862.92939698,2792.87268192,2863.02512563,4006.631357
1872.35577889,2799.92871109,2867.1758794,4009.42187003
1881.7821608,2806.95669754,2871.32663317,4012.20834622
1891.20854271,2813.95690317,2875.47738693,4014.99079721
1900.63492462,2820.92958607,2879.6281407,4017.76923464
1910.06130653,2827.87500059,2883.77889447,4020.54367004
1919.48768844,2834.79339742,2887.92964824,4023.31411495
1928.91407035,2841.68502365,2892.08040201,4026.08058082
1938.34045226,2848.55012288,2896.23115578,4028.84307907
1947.76683417,2855.3889352,2900.38190955,4031.60162106
1957.19321608,2862.20169736,2904.53266332,4034.3562181
1966.61959799,2868.98864276,2908.68341709,4037.10688146
1976.0459799,2875.75000152,2912.83417085,4039.85362237
1985.47236181,2882.4860006,2916.98492462,4042.59645199
1994.89874372,2889.19686377,2921.13567839,4045.33538145
2004.32512563,2895.88281175,2925.28643216,4048.07042181
2013.75150754,2902.5440622,2929.43718593,4050.80158412
2023.17788945,2909.18082984,2933.5879397,4053.52887935
2032.60427136,2915.79332645,2937.73869347,4056.25231844
2042.03065327,2922.38176095,2941.88944724,4058.97191227
2051.45703518,2928.94633945,2946.04020101,4061.6876717
2060.88341709,2935.4872653,2950.19095477,4064.39960751
2070.30979899,2942.00473911,2954.34170854,4067.10773046
2079.7361809,2948.49895887,2958.49246231,4069.81205126
2089.16256281,2954.97011993,2962.64321608,4072.51258056
2098.58894472,2961.41841505,2966.79396985,4075.20932899
2108.01532663,2967.8440345,2970.94472362,4077.90230711
2117.44170854,2974.24716606,2975.09547739,4080.59152546
2126.86809045,2980.62799505,2979.24623116,4083.27699451
2136.29447236,2986.98670441,2983.39698492,4085.95872471
2145.72085427,2993.32347475,2987.54773869,4088.63672645
2155.14723618,2999.63848433,2991.69849246,4091.31101008
2164.57361809,3005.93190915,2995.84924623,4093.98158593
2174.0,3012.20392299,3000.0,4096.64846424
