P (GPa), T (K)
0.491867, 2214.452214
3.263403, 2344.988345
6.79483, 2447.552448
10.582498, 2494.172494
14.622874, 2540.792541
17.400301, 2578.088578
20.429258, 2634.032634
23.20374, 2717.948718
25.472806, 2801.864802
27.488576, 2895.104895
29.757054, 2988.344988
32.027299, 3053.613054
35.054488, 3137.529138
38.334973, 3212.121212
41.363931, 3268.065268
46.160073, 3351.981352
52.470105, 3473.193473
59.537671, 3603.729604
66.860889, 3687.645688
74.941052, 3790.20979
85.545934, 3930.06993
97.667651, 4060.606061
112.315266, 4209.79021
124.438161, 4321.678322
136.058586, 4386.946387
