      Den.          E          P        T     Grun         Cv       Up       Us       Cb         Ks
    [g/cc]    [MJ/kg]      [GPa]      [K]        -  [kJ/kg/K]   [km/s]   [km/s]   [km/s]      [GPa]
    3.2246   -32.2108       4.27      300        -          -        -        -        -          -
    5.8072   -13.5554     266.26     6945  1.02815      1.900    6.060   13.626        -          -
    5.8284   -13.0742     271.99     7156  1.09266      1.932    6.139   13.741   13.093     999.11
    5.8496   -12.6144     277.36     7310  0.99909      1.857    6.213   13.845        -          -
    6.1015    -6.7521     343.95     9497  0.97601      2.057    7.092   15.041        -          -
    6.3681     0.3979     421.75    12232  0.93661      1.951    8.035   16.278        -          -
    6.3921     1.2382     431.06    12635  0.97982      1.993    8.139   16.425   15.130    1463.27
    6.4161     2.0463     439.89    12929  0.93965      1.997    8.237   16.560        -          -
    6.7013    12.0277     544.30    16988  0.89978      1.802    9.358   18.038        -          -
    7.0308    25.7221     684.58    22962  0.86946      1.771   10.721   19.803        -          -
    7.3823    43.4230     860.56    31011  0.77421      1.757   12.260   21.768        -          -
    7.7576    65.8163    1076.44    41303  0.75150      1.838   13.966   23.902        -          -
