Shot  Panel	Vf	Err	Up	UpErr		Us	UsErr	rhoVAL	rhoErr		P	PErr
-     -		(km/s)	-	(km/s)	(km/s)		(km/s)	(km/s)	(g/cm3) (g/cm3)         (GPa)	(GPa)	
Z3101 N1	12.74	0.08	6.022	0.052788	13.39	0.08	5.8554	0.058029	259.8	2.3846
Z2879 N7	12.95	0.04	6.1275	0.036939	13.48	0.11	5.9072	0.062819	266.13	1.8617
Z2262 S7	13.75	0.08	6.5096	0.058323	13.93	0.15	6.0485	0.091477	292.15	2.9475
Z2662 S1	13.77	0.11	6.5099	0.077515	13.99	0.20	6.0261	0.120110	293.41	3.9165
Z2662 S3	13.78	0.11	6.5313	0.077681	13.91	0.20	6.074	0.123420	292.7	3.9165
Z2879 S7	13.82	0.08	6.5236	0.055485	14.07	0.12	6.0073	0.075228	295.73	2.7469
Z3101 S1	13.83	0.11	6.4968	0.068880	14.24	0.087	5.9254	0.067598	298.08	3.2687
Z2662 N7	13.98	0.09	6.6000	0.062991	14.16	0.15	6.0349	0.091488	301.1	3.1855
Z2792 N3	14.63	0.05	6.8782	0.053323	14.69	0.21	6.059	0.111950	325.52	3.2011
Z2792 S3	14.69	0.04	6.9411	0.066036	14.55	0.30	6.1612	0.167120	325.34	4.1994
Z2792 N4 	14.70	0.09	6.9390	0.075636	14.59	0.26	6.1441	0.148570	326.15	4.328
Z2792 S6	14.72	0.04	6.9368	0.050696	14.66	0.21	6.1159	0.114630	327.63	3.1194
Z2792 S7	14.72	0.07	6.9191	0.055663	14.75	0.17	6.0689	0.094840	328.81	3.1058
Z2792 N1	14.72	0.08	6.9270	0.067389	14.71	0.23	6.0897	0.127170	328.28	3.8597
Z2792 S1	14.74	0.06	6.9370	0.065844	14.72	0.27	6.0937	0.145610	328.97	4.0314
Z2792 N7	14.82	0.12	6.9857	0.084525	14.71	0.22	6.1359	0.131730	331.06	4.5233
Z2868 S7	15.67	0.06	7.3608	0.044907	15.34	0.11	6.1943	0.066129	363.8	2.5184
Z2868 N3	15.76	0.04	7.3765	0.048931	15.53	0.20	6.1369	0.104210	369.07	3.1772
Z2868 N4	15.79	0.04	7.4060	0.055677	15.47	0.24	6.1811	0.127500	369.1	3.6942
Z2868 S1	15.82	0.04	7.4080	0.064080	15.55	0.29	6.1535	0.150640	371.1	4.3418
Z2868 N7	15.83	0.07	7.4371	0.048148	15.43	0.09	6.2200	0.059720	369.73	2.5967
Z2868 N1	15.85	0.04	7.4709	0.048035	15.32	0.19	6.2888	0.108070	368.75	3.0924
Z3158 N1 	18.37	0.06	8.6129	0.049864	17.03	0.15	6.5189	0.088634	472.58	3.3249
Z3033 N5	18.84	0.08	8.8027	0.059867	17.46	0.16	6.4981	0.093797	495.19	3.9389
Z3033 N3	18.89	0.09	8.8304	0.070510	17.47	0.21	6.5151	0.120980	497.02	4.7695
Z3033 S3	20.32	0.06	9.4999	0.051694	18.33	0.16	6.6884	0.093625	561.02	3.7958
Z3033 S5	20.37	0.11	9.5086	0.081614	18.43	0.22	6.6561	0.130050	564.6	5.7006
Z3044 N5	21.75	0.06	10.163	0.052431	19.22	0.16	6.8375	0.094936	629.34	4.0609
Z3044 N3	21.79	0.07	10.187	0.054205	19.22	0.14	6.8555	0.086510	630.81	4.0076
Z3062 N3	22.72	0.08	10.611	0.062982	19.83	0.17	6.9307	0.103900	677.95	4.8493
Z3050 N4	22.80	0.08	10.689	0.054118	19.69	0.08	7.0485	0.062496	678.14	3.7641
Z2611 N7	23.00	0.08	10.768	0.079599	19.88	0.28	7.0298	0.169740	689.69	6.7498
Z2611 N3	23.14	0.08	10.813	0.060826	20.06	0.15	6.9895	0.094410	698.85	4.6631
Z3044 S3	23.20	0.08	10.879	0.053224	19.92	0.06	7.0991	0.054379	698.24	3.6658
Z3044 S5	23.20	0.05	10.883	0.040556	19.9	0.09	7.1111	0.061363	697.82	3.0987
Z3062 S3	24.13	0.08	11.319	0.062885	20.46	0.16	7.2119	0.106120	746.17	5.0086
Z2742 N2	24.50	0.11	11.502	0.073449	20.64	0.11	7.2775	0.087848	764.89	5.3158
Z2742 N4	24.52	0.10	11.510	0.068848	20.66	0.12	7.2747	0.089899	766.14	5.1157
Z2741 N4	25.16	0.10	11.766	0.084347	21.24	0.25	7.2238	0.156100	805.17	7.2639
Z2981 N4	27.86	0.08	13.070	0.056225	22.69	0.05	7.5993	0.053483	955.49	4.4215
Z2981 N2	27.88	0.06	13.084	0.046874	22.68	0.06	7.6153	0.051855	956.12	3.8492
