s77775_fo_Us, us_err, T, T_err, R, R_err, P, P_err 
15.3,0.12390611,11191.424,637.73871,0.027751226,0.0027751226,0.3687159813,0.021675940571,
15.4,0.12390611,11779.649,661.8042,0.030548844,0.0030548845,0.3754762871,0.0237048167089,
15.5,0.12390611,12113.071,737.24457,0.028962553,0.0028962553,0.381079960488,0.0217602609999,
15.6,0.12390611,12160.0,624.55609,0.034089867,0.0034089866,0.387749532591,0.0226335420595,
15.7,0.12390611,12080.848,608.52612,0.033836726,0.0033836726,0.394213842237,0.0221646368551,
15.8,0.12390611,12256.34,618.4599,0.031710967,0.0031710968,0.39981702968,0.0221717311133,
15.9,0.12390611,12615.069,709.21484,0.025712695,0.0025712694,0.407256729005,0.0251369443526,
16.0,0.12390611,12743.475,716.20361,0.030582907,0.0030582906,0.413375529068,0.0231306063527,
16.1,0.12390611,13108.254,585.83185,0.037411187,0.0037411186,0.418405270373,0.0232097901719,
16.200001,0.12390611,13010.038,762.50647,0.036678839,0.003667884,0.425432947661,0.024174834268,
16.299999,0.12390611,13078.845,652.48877,0.037377987,0.0037377987,0.431232969191,0.0239758892068,
16.4,0.12390611,13650.424,937.4765,0.040713567,0.0040713567,0.439403919578,0.0236032372797,
16.5,0.12390611,13786.383,833.39233,0.038590793,0.0038590792,0.44627533488,0.0237383164387,
16.6,0.12390611,14111.729,722.29926,0.040223673,0.0040223673,0.451040158595,0.023128534322,
16.700001,0.12390611,14123.321,698.85834,0.039824333,0.0039824331,0.45909899525,0.0247799192577,
16.799999,0.12390611,14630.868,797.86353,0.041718688,0.0041718688,0.464831798339,0.0239401519448,
16.9,0.12390611,14630.271,814.81238,0.060619015,0.0060619013,0.473336950763,0.0249361676864,
17.0,0.12390611,14843.563,707.33063,0.06738963,0.0067389631,0.479803270286,0.024726384179,
17.1,0.12390611,15269.39,751.43719,0.067961149,0.0067961151,0.486066278352,0.0248489248886,
17.200001,0.12390611,15769.914,822.43164,0.07393536,0.0073935362,0.493224050685,0.0238087146054,
17.299999,0.12390611,15990.1,761.2301,0.080195077,0.0080195079,0.500203964064,0.0254030536467,
17.4,0.12390611,16306.301,726.12494,0.087051243,0.0087051243,0.507089834736,0.0240983425878,
17.5,0.12390611,16468.113,779.40802,0.089369573,0.0089369575,0.515643379966,0.0255664692359,
17.6,0.12390611,17061.066,799.5481,0.096695624,0.0096695628,0.523192363861,0.0252288813133,
17.700001,0.12390611,17764.459,841.74359,0.092500851,0.0092500849,0.529239395876,0.0255440704544,
17.799999,0.12390611,17848.484,849.44714,0.092239231,0.0092239231,0.538431633018,0.0254738006949,
17.9,0.12390611,18493.281,923.94513,0.090481453,0.0090481453,0.544415791201,0.0254839116629,
18.0,0.12390611,18213.504,766.77026,0.090900078,0.0090900082,0.551280486388,0.0241802906188,
18.1,0.12390611,18349.211,825.78912,0.088059425,0.0088059427,0.558124564364,0.0252748757802,
18.200001,0.12390611,18890.785,969.54254,0.090450943,0.0090450943,0.567205307027,0.0254067347101,
18.299999,0.12390611,19139.232,898.94464,0.10686197,0.010686197,0.576443776689,0.0269951537717,
18.4,0.12390611,19764.312,912.69415,0.12270141,0.01227014,0.58301965723,0.0256940514658,
18.5,0.12390611,19997.859,940.52161,0.10544259,0.010544259,0.589822310859,0.0257501633824,
18.6,0.12390611,19946.061,1029.2206,0.10766698,0.010766698,0.598084362287,0.0267407164958,
18.700001,0.12390611,20574.305,969.92157,0.11651995,0.011651995,0.606846267384,0.0261156475793,
18.799999,0.12390611,20946.77,980.11133,0.12451689,0.012451689,0.614246304099,0.0285905799955,
18.9,0.12390611,21385.646,1048.9507,0.12152734,0.012152733,0.621379913278,0.0272661078302,
19.0,0.12390611,21464.916,1024.4976,0.11825559,0.011825559,0.630691949888,0.0267851466837,
19.1,0.12390611,21748.223,970.89594,0.11968636,0.011968636,0.636865491599,0.0286097114212,
19.200001,0.12390611,22412.77,1031.957,0.12550503,0.012550503,0.646522258199,0.0279039336754,
19.299999,0.12390611,22417.756,871.93182,0.145611,0.0145611,0.65498146202,0.0270714644811,
19.4,0.12390611,22879.98,929.50446,0.15120405,0.015120405,0.663270735011,0.028422507399,
19.5,0.12390611,23320.445,1153.2817,0.14500453,0.014500452,0.669776359831,0.0292718272832,
19.6,0.12390611,23464.598,1252.9744,0.14853382,0.014853382,0.679295275949,0.0276014534546,
19.700001,0.12390611,23976.584,1161.4279,0.16923527,0.016923528,0.689059531729,0.0275848887718,
19.799999,0.12390611,23832.041,1087.413,0.16644439,0.016644439,0.694846109397,0.0276854291699,
19.9,0.12390611,25144.732,1119.8483,0.17772155,0.017772155,0.704877434432,0.0284302440677,
20.0,0.12390611,25615.432,1257.3427,0.18980674,0.018980674,0.713947196067,0.0302270117999,
20.1,0.12390611,25558.924,993.36469,0.1707707,0.01707707,0.723484483366,0.0287879130629,
20.200001,0.12390611,25892.084,1303.9084,0.17568754,0.017568754,0.730739212077,0.0291886498873,
20.299999,0.12390611,26006.402,1221.7545,0.1558114,0.01558114,0.740138965343,0.029621772636,
20.4,0.12390611,26478.701,1165.4987,0.14888451,0.014888451,0.747285676467,0.0294112006951,
20.5,0.12390611,26344.52,1140.0391,0.14634067,0.014634067,0.758140926342,0.0293338521712,
20.6,0.12390611,26067.781,1099.4315,0.13745357,0.013745357,0.765266881487,0.0289755528213,
20.700001,0.12390611,27375.092,1354.4255,0.15589415,0.015589414,0.776312488254,0.0300456090335,
20.799999,0.12390611,27687.328,1229.8619,0.17295036,0.017295036,0.78630492134,0.0297422657447,
20.9,0.12390611,29275.191,1178.6637,0.19000691,0.01900069,0.793281215029,0.0304098896958,
